Level 1,Level 1 (Arabic),Level 2,Level 2 (Arabic),Level 3,Level 3 (Arabic),Level 1 Keywords & Synonyms,Level 2 Keywords & Synonyms,Level 3 Keywords & Synonyms
Manufacturing & Industrial,الصناعة,Chemicals,كيماويات,Fertilizers,أسمدة,Manufacturing & Industrial; الصناعة,Chemicals; كيماويات; chemical production; chemical manufacturing,Fertilizers; أسمدة
Manufacturing & Industrial,الصناعة,Chemicals,كيماويات,Paints & Coatings,دهانات وطلاءات,Manufacturing & Industrial; الصناعة,Chemicals; كيماويات; chemical production; chemical manufacturing,Paints & Coatings; دهانات وطلاءات
Manufacturing & Industrial,الصناعة,Chemicals,كيماويات,Pharmaceuticals,أدوية,Manufacturing & Industrial; الصناعة,Chemicals; كيماويات; chemical production; chemical manufacturing,Pharmaceuticals; أدوية
Manufacturing & Industrial,الصناعة,Textiles & Garments,المنسوجات والملابس,Textile Manufacturing,صناعة النسيج,Manufacturing & Industrial; الصناعة,Textiles & Garments; المنسوجات والملابس,Textile Manufacturing; صناعة النسيج
Manufacturing & Industrial,الصناعة,Textiles & Garments,المنسوجات والملابس,Garment Production,إنتاج الملابس,Manufacturing & Industrial; الصناعة,Textiles & Garments; المنسوجات والملابس,Garment Production; إنتاج الملابس
Manufacturing & Industrial,الصناعة,Textiles & Garments,المنسوجات والملابس,Carpets & Rugs,السجاد,Manufacturing & Industrial; الصناعة,Textiles & Garments; المنسوجات والملابس,Carpets & Rugs; السجاد
Manufacturing & Industrial,الصناعة,Textiles & Garments,المنسوجات والملابس,Leather Products,منتجات الجلد,Manufacturing & Industrial; الصناعة,Textiles & Garments; المنسوجات والملابس,Leather Products; منتجات الجلد
Manufacturing & Industrial,الصناعة,Textiles & Garments,المنسوجات والملابس,Yarn & Thread,خيوط ونسيج,Manufacturing & Industrial; الصناعة,Textiles & Garments; المنسوجات والملابس,Yarn & Thread; خيوط ونسيج
Manufacturing & Industrial,الصناعة,Machinery & Equipment,آلات ومعدات,Industrial Machinery,آلات صناعية,Manufacturing & Industrial; الصناعة,Machinery & Equipment; آلات ومعدات,Industrial Machinery; آلات صناعية
Manufacturing & Industrial,الصناعة,Machinery & Equipment,آلات ومعدات,Agricultural Machinery,آلات زراعية,Manufacturing & Industrial; الصناعة,Machinery & Equipment; آلات ومعدات,Agricultural Machinery; آلات زراعية
Manufacturing & Industrial,الصناعة,Machinery & Equipment,آلات ومعدات,Packaging Machinery,آلات التعبئة,Manufacturing & Industrial; الصناعة,Machinery & Equipment; آلات ومعدات; packing; packaging services,Packaging Machinery; آلات التعبئة
Manufacturing & Industrial,الصناعة,Machinery & Equipment,آلات ومعدات,Electrical Equipment,معدات كهربائية,Manufacturing & Industrial; الصناعة,Machinery & Equipment; آلات ومعدات; electric services; electrical works,Electrical Equipment; معدات كهربائية
Manufacturing & Industrial,الصناعة,Machinery & Equipment,آلات ومعدات,HVAC Equipment,معدات التكييف,Manufacturing & Industrial; الصناعة,Machinery & Equipment; آلات ومعدات,HVAC Equipment; معدات التكييف
Manufacturing & Industrial,الصناعة,Electronics Manufacturing,تصنيع الإلكترونيات,Consumer Electronics,إلكترونيات استهلاكية,Manufacturing & Industrial; الصناعة,Electronics Manufacturing; تصنيع الإلكترونيات,Consumer Electronics; إلكترونيات استهلاكية
Manufacturing & Industrial,الصناعة,Electronics Manufacturing,تصنيع الإلكترونيات,Semiconductors,أشباه الموصلات,Manufacturing & Industrial; الصناعة,Electronics Manufacturing; تصنيع الإلكترونيات,Semiconductors; أشباه الموصلات
Manufacturing & Industrial,الصناعة,Electronics Manufacturing,تصنيع الإلكترونيات,Solar Panels,ألواح شمسية,Manufacturing & Industrial; الصناعة,Electronics Manufacturing; تصنيع الإلكترونيات; solar power; photovoltaic,Solar Panels; ألواح شمسية
Manufacturing & Industrial,الصناعة,Electronics Manufacturing,تصنيع الإلكترونيات,Medical Devices,أجهزة طبية,Manufacturing & Industrial; الصناعة,Electronics Manufacturing; تصنيع الإلكترونيات,Medical Devices; أجهزة طبية
Manufacturing & Industrial,الصناعة,Electronics Manufacturing,تصنيع الإلكترونيات,Electronic Components,مكونات إلكترونية,Manufacturing & Industrial; الصناعة,Electronics Manufacturing; تصنيع الإلكترونيات,Electronic Components; مكونات إلكترونية
Manufacturing & Industrial,الصناعة,Printing & Packaging,طباعة وتعبئة,Printing Services,خدمات الطباعة,Manufacturing & Industrial; الصناعة,Printing & Packaging; طباعة وتعبئة; packing; packaging services; printing services; press; services; support,Printing Services; خدمات الطباعة
Manufacturing & Industrial,الصناعة,Printing & Packaging,طباعة وتعبئة,Paper Products,منتجات ورقية,Manufacturing & Industrial; الصناعة,Printing & Packaging; طباعة وتعبئة; packing; packaging services; printing services; press,Paper Products; منتجات ورقية
Manufacturing & Industrial,الصناعة,Printing & Packaging,طباعة وتعبئة,Cardboard Production,إنتاج الكرتون,Manufacturing & Industrial; الصناعة,Printing & Packaging; طباعة وتعبئة; packing; packaging services; printing services; press,Cardboard Production; إنتاج الكرتون
Manufacturing & Industrial,الصناعة,Printing & Packaging,طباعة وتعبئة,Labels & Tags,الملصقات والبطاقات,Manufacturing & Industrial; الصناعة,Printing & Packaging; طباعة وتعبئة; packing; packaging services; printing services; press,Labels & Tags; الملصقات والبطاقات
Manufacturing & Industrial,الصناعة,Printing & Packaging,طباعة وتعبئة,Packaging Solutions,حلول التغليف,Manufacturing & Industrial; الصناعة,Printing & Packaging; طباعة وتعبئة; packing; packaging services; printing services; press,Packaging Solutions; حلول التغليف
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Exploration & Drilling,الاستكشاف والحفر,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Exploration & Drilling; الاستكشاف والحفر
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Oilfield Equipment,معدات حقول النفط,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Oilfield Equipment; معدات حقول النفط
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Refining,التكرير,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Refining; التكرير
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Distribution,التوزيع,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Distribution; التوزيع
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Pipeline Services,خدمات خطوط الأنابيب,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Pipeline Services; خدمات خطوط الأنابيب
Energy & Utilities,الطاقة والمرافق,Oil & Gas Services,خدمات النفط والغاز,Well Maintenance,صيانة الآبار,Energy & Utilities; الطاقة والمرافق,Oil & Gas Services; خدمات النفط والغاز; petroleum services; oilfield services; services; support,Well Maintenance; صيانة الآبار
Energy & Utilities,الطاقة والمرافق,Petrochemicals,بتروكيماويات,Petrochemical Manufacturing,تصنيع البتروكيماويات,Energy & Utilities; الطاقة والمرافق,Petrochemicals; بتروكيماويات; petrochemical production; chemical industry,Petrochemical Manufacturing; تصنيع البتروكيماويات
Energy & Utilities,الطاقة والمرافق,Petrochemicals,بتروكيماويات,Plastic Resins,راتنجات بلاستيكية,Energy & Utilities; الطاقة والمرافق,Petrochemicals; بتروكيماويات; petrochemical production; chemical industry,Plastic Resins; راتنجات بلاستيكية
Energy & Utilities,الطاقة والمرافق,Petrochemicals,بتروكيماويات,Chemical Feedstocks,المواد الخام الكيميائية,Energy & Utilities; الطاقة والمرافق,Petrochemicals; بتروكيماويات; petrochemical production; chemical industry,Chemical Feedstocks; المواد الخام الكيميائية
Energy & Utilities,الطاقة والمرافق,Petrochemicals,بتروكيماويات,Fertilizer Production,إنتاج الأسمدة,Energy & Utilities; الطاقة والمرافق,Petrochemicals; بتروكيماويات; petrochemical production; chemical industry,Fertilizer Production; إنتاج الأسمدة
Energy & Utilities,الطاقة والمرافق,Petrochemicals,بتروكيماويات,Synthetic Polymers,بوليمرات اصطناعية,Energy & Utilities; الطاقة والمرافق,Petrochemicals; بتروكيماويات; petrochemical production; chemical industry,Synthetic Polymers; بوليمرات اصطناعية
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Electricity Generation,توليد الكهرباء,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant,Electricity Generation; توليد الكهرباء
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Fossil Fuel Plants,محطات الوقود الأحفوري,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant,Fossil Fuel Plants; محطات الوقود الأحفوري
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Nuclear Plants,محطات نووية,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant,Nuclear Plants; محطات نووية
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Hydroelectric Plants,محطات كهرومائية,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant,Hydroelectric Plants; محطات كهرومائية
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Wind Farms,مزارع الرياح,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant; farmland; agriculture,Wind Farms; مزارع الرياح
Energy & Utilities,الطاقة والمرافق,Power Generation,توليد الطاقة,Turbine Maintenance,صيانة التوربينات,Energy & Utilities; الطاقة والمرافق,Power Generation; توليد الطاقة; electric generation; power plant,Turbine Maintenance; صيانة التوربينات
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Solar Power,طاقة شمسية,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة; solar power; photovoltaic,Solar Power; طاقة شمسية
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Wind Power,طاقة الرياح,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة,Wind Power; طاقة الرياح
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Biomass Energy,طاقة حيوية,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة,Biomass Energy; طاقة حيوية
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Geothermal Energy,طاقة حرارية أرضية,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة,Geothermal Energy; طاقة حرارية أرضية
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Hydrogen Energy,طاقة الهيدروجين,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة,Hydrogen Energy; طاقة الهيدروجين
Energy & Utilities,الطاقة والمرافق,Renewable Energy,الطاقة المتجددة,Energy Storage Solutions,حلول تخزين الطاقة,Energy & Utilities; الطاقة والمرافق,Renewable Energy; الطاقة المتجددة,Energy Storage Solutions; حلول تخزين الطاقة
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Water Treatment,معالجة المياه,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services,Water Treatment; معالجة المياه
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Sewage Treatment,معالجة الصرف الصحي,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services,Sewage Treatment; معالجة الصرف الصحي
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Desalination Plants,محطات تحلية المياه,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services,Desalination Plants; محطات تحلية المياه
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Water Distribution,توزيع المياه,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services,Water Distribution; توزيع المياه
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Irrigation Services,خدمات الري,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services; services; support,Irrigation Services; خدمات الري
Energy & Utilities,الطاقة والمرافق,Water & Wastewater,المياه والصرف الصحي,Stormwater Management,إدارة مياه الأمطار,Energy & Utilities; الطاقة والمرافق,Water & Wastewater; المياه والصرف الصحي; water treatment; water services,Stormwater Management; إدارة مياه الأمطار
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,Solid Waste Collection,جمع النفايات الصلبة,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal,Solid Waste Collection; جمع النفايات الصلبة
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,Recycling Services,خدمات إعادة التدوير,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal; recycling facilities; recycling centers; recycling operations; مراكز إعادة التدوير; مرافق إعادة التدوير; services; support,Recycling Services; خدمات إعادة التدوير
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,Hazardous Waste,النفايات الخطرة,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal,Hazardous Waste; النفايات الخطرة
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,Landfill Management,إدارة المدافن,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal,Landfill Management; إدارة المدافن
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,Composting,التسميد,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal,Composting; التسميد
Energy & Utilities,الطاقة والمرافق,Waste Management,إدارة النفايات,E-Waste Recycling,تدوير النفايات الإلكترونية,Energy & Utilities; الطاقة والمرافق,Waste Management; إدارة النفايات; waste management; trash disposal,E-Waste Recycling; تدوير النفايات الإلكترونية
IT & Software,تقنية المعلومات,Software Development,تطوير البرمجيات,Web Development,تطوير الويب,IT & Software; تقنية المعلومات,Software Development; تطوير البرمجيات; software engineering; software development; web development; website development,Web Development; تطوير الويب
IT & Software,تقنية المعلومات,Software Development,تطوير البرمجيات,Mobile App Development,تطوير تطبيقات الهواتف,IT & Software; تقنية المعلومات,Software Development; تطوير البرمجيات; software engineering; software development,Mobile App Development; تطوير تطبيقات الهواتف
IT & Software,تقنية المعلومات,Software Development,تطوير البرمجيات,Enterprise Software,برمجيات المؤسسات,IT & Software; تقنية المعلومات,Software Development; تطوير البرمجيات; software engineering; software development,Enterprise Software; برمجيات المؤسسات
IT & Software,تقنية المعلومات,Software Development,تطوير البرمجيات,Game Development,تطوير الألعاب,IT & Software; تقنية المعلومات,Software Development; تطوير البرمجيات; software engineering; software development,Game Development; تطوير الألعاب
IT & Software,تقنية المعلومات,Software Development,تطوير البرمجيات,Custom Software,برمجيات مخصصة,IT & Software; تقنية المعلومات,Software Development; تطوير البرمجيات; software engineering; software development,Custom Software; برمجيات مخصصة
IT & Software,تقنية المعلومات,IT Services & Support,خدمات ودعم تقنية المعلومات,Technical Support,الدعم الفني,IT & Software; تقنية المعلومات,IT Services & Support; خدمات ودعم تقنية المعلومات; information technology services; IT support; services; support,Technical Support; الدعم الفني
IT & Software,تقنية المعلومات,IT Services & Support,خدمات ودعم تقنية المعلومات,Network Setup,إعداد الشبكات,IT & Software; تقنية المعلومات,IT Services & Support; خدمات ودعم تقنية المعلومات; information technology services; IT support; services; support,Network Setup; إعداد الشبكات
IT & Software,تقنية المعلومات,IT Services & Support,خدمات ودعم تقنية المعلومات,System Integration,تكامل الأنظمة,IT & Software; تقنية المعلومات,IT Services & Support; خدمات ودعم تقنية المعلومات; information technology services; IT support; services; support,System Integration; تكامل الأنظمة
IT & Software,تقنية المعلومات,IT Services & Support,خدمات ودعم تقنية المعلومات,Managed IT Services,الخدمات المُدارة,IT & Software; تقنية المعلومات,IT Services & Support; خدمات ودعم تقنية المعلومات; information technology services; IT support; services; support,Managed IT Services; الخدمات المُدارة
IT & Software,تقنية المعلومات,IT Services & Support,خدمات ودعم تقنية المعلومات,IT Outsourcing,الاستعانة بمصادر خارجية لتقنية المعلومات,IT & Software; تقنية المعلومات,IT Services & Support; خدمات ودعم تقنية المعلومات; information technology services; IT support; services; support,IT Outsourcing; الاستعانة بمصادر خارجية لتقنية المعلومات
IT & Software,تقنية المعلومات,Cloud & Cybersecurity,السحابة والأمن السيبراني,Cloud Computing,الحوسبة السحابية,IT & Software; تقنية المعلومات,Cloud & Cybersecurity; السحابة والأمن السيبراني; cloud services; cloud computing; cyber security; information security,Cloud Computing; الحوسبة السحابية
IT & Software,تقنية المعلومات,Cloud & Cybersecurity,السحابة والأمن السيبراني,Data Storage,تخزين البيانات,IT & Software; تقنية المعلومات,Cloud & Cybersecurity; السحابة والأمن السيبراني; cloud services; cloud computing; cyber security; information security; data analytics; data science,Data Storage; تخزين البيانات
IT & Software,تقنية المعلومات,Cloud & Cybersecurity,السحابة والأمن السيبراني,Cybersecurity,الأمن السيبراني,IT & Software; تقنية المعلومات,Cloud & Cybersecurity; السحابة والأمن السيبراني; cloud services; cloud computing; cyber security; information security,Cybersecurity; الأمن السيبراني
IT & Software,تقنية المعلومات,Cloud & Cybersecurity,السحابة والأمن السيبراني,Backup Solutions,حلول النسخ الاحتياطي,IT & Software; تقنية المعلومات,Cloud & Cybersecurity; السحابة والأمن السيبراني; cloud services; cloud computing; cyber security; information security,Backup Solutions; حلول النسخ الاحتياطي
IT & Software,تقنية المعلومات,Cloud & Cybersecurity,السحابة والأمن السيبراني,Disaster Recovery,استعادة البيانات بعد الكوارث,IT & Software; تقنية المعلومات,Cloud & Cybersecurity; السحابة والأمن السيبراني; cloud services; cloud computing; cyber security; information security,Disaster Recovery; استعادة البيانات بعد الكوارث
IT & Software,تقنية المعلومات,Data & AI,البيانات والذكاء الاصطناعي,Data Analytics,تحليل البيانات,IT & Software; تقنية المعلومات,Data & AI; البيانات والذكاء الاصطناعي; data analytics; data science; artificial intelligence; machine learning,Data Analytics; تحليل البيانات
IT & Software,تقنية المعلومات,Data & AI,البيانات والذكاء الاصطناعي,AI Development,تطوير الذكاء الاصطناعي,IT & Software; تقنية المعلومات,Data & AI; البيانات والذكاء الاصطناعي; data analytics; data science; artificial intelligence; machine learning,AI Development; تطوير الذكاء الاصطناعي
IT & Software,تقنية المعلومات,Data & AI,البيانات والذكاء الاصطناعي,Machine Learning,تعلم الآلة,IT & Software; تقنية المعلومات,Data & AI; البيانات والذكاء الاصطناعي; data analytics; data science; artificial intelligence; machine learning,Machine Learning; تعلم الآلة
IT & Software,تقنية المعلومات,Data & AI,البيانات والذكاء الاصطناعي,Big Data Solutions,حلول البيانات الضخمة,IT & Software; تقنية المعلومات,Data & AI; البيانات والذكاء الاصطناعي; data analytics; data science; artificial intelligence; machine learning,Big Data Solutions; حلول البيانات الضخمة
IT & Software,تقنية المعلومات,Data & AI,البيانات والذكاء الاصطناعي,Data Management,إدارة البيانات,IT & Software; تقنية المعلومات,Data & AI; البيانات والذكاء الاصطناعي; data analytics; data science; artificial intelligence; machine learning,Data Management; إدارة البيانات
IT & Software,تقنية المعلومات,Web & Mobile Apps,تطبيقات الويب والهواتف,eCommerce Development,تطوير التجارة الإلكترونية,IT & Software; تقنية المعلومات,Web & Mobile Apps; تطبيقات الويب والهواتف; web development; website development; mobile app development; mobile applications,eCommerce Development; تطوير التجارة الإلكترونية
IT & Software,تقنية المعلومات,Web & Mobile Apps,تطبيقات الويب والهواتف,UI/UX Design,تصميم واجهة المستخدم وتجربة المستخدم,IT & Software; تقنية المعلومات,Web & Mobile Apps; تطبيقات الويب والهواتف; web development; website development; mobile app development; mobile applications,UI/UX Design; تصميم واجهة المستخدم وتجربة المستخدم
IT & Software,تقنية المعلومات,Web & Mobile Apps,تطبيقات الويب والهواتف,Progressive Web Apps,تطبيقات الويب التقدمية,IT & Software; تقنية المعلومات,Web & Mobile Apps; تطبيقات الويب والهواتف; web development; website development; mobile app development; mobile applications,Progressive Web Apps; تطبيقات الويب التقدمية
IT & Software,تقنية المعلومات,Web & Mobile Apps,تطبيقات الويب والهواتف,Maintenance & Updates,الصيانة والتحديثات,IT & Software; تقنية المعلومات,Web & Mobile Apps; تطبيقات الويب والهواتف; web development; website development; mobile app development; mobile applications,Maintenance & Updates; الصيانة والتحديثات
IT & Software,تقنية المعلومات,Web & Mobile Apps,تطبيقات الويب والهواتف,API Integration,تكامل واجهات البرمجة,IT & Software; تقنية المعلومات,Web & Mobile Apps; تطبيقات الويب والهواتف; web development; website development; mobile app development; mobile applications,API Integration; تكامل واجهات البرمجة
Telecommunications,الاتصالات,Mobile Operators,مشغلي الاتصالات المتنقلة,Voice Plans,خطط المكالمات,Telecommunications; الاتصالات,Mobile Operators; مشغلي الاتصالات المتنقلة; telecom operators; mobile service providers,Voice Plans; خطط المكالمات
Telecommunications,الاتصالات,Mobile Operators,مشغلي الاتصالات المتنقلة,Data Plans,خطط البيانات,Telecommunications; الاتصالات,Mobile Operators; مشغلي الاتصالات المتنقلة; data analytics; data science; telecom operators; mobile service providers,Data Plans; خطط البيانات
Telecommunications,الاتصالات,Mobile Operators,مشغلي الاتصالات المتنقلة,SIM Cards,بطاقات SIM,Telecommunications; الاتصالات,Mobile Operators; مشغلي الاتصالات المتنقلة; telecom operators; mobile service providers,SIM Cards; بطاقات SIM
Telecommunications,الاتصالات,Mobile Operators,مشغلي الاتصالات المتنقلة,Prepaid Services,خدمات مسبقة الدفع,Telecommunications; الاتصالات,Mobile Operators; مشغلي الاتصالات المتنقلة; telecom operators; mobile service providers; services; support,Prepaid Services; خدمات مسبقة الدفع
Telecommunications,الاتصالات,Mobile Operators,مشغلي الاتصالات المتنقلة,Postpaid Services,خدمات مفوترة,Telecommunications; الاتصالات,Mobile Operators; مشغلي الاتصالات المتنقلة; telecom operators; mobile service providers; services; support,Postpaid Services; خدمات مفوترة
Telecommunications,الاتصالات,Internet Providers,مزودو الإنترنت,Fiber Optic Internet,إنترنت الألياف البصرية,Telecommunications; الاتصالات,Internet Providers; مزودو الإنترنت; internet service providers; broadband providers,Fiber Optic Internet; إنترنت الألياف البصرية
Telecommunications,الاتصالات,Internet Providers,مزودو الإنترنت,DSL Services,خدمات DSL,Telecommunications; الاتصالات,Internet Providers; مزودو الإنترنت; internet service providers; broadband providers; services; support,DSL Services; خدمات DSL
Telecommunications,الاتصالات,Internet Providers,مزودو الإنترنت,Satellite Internet,إنترنت فضائي,Telecommunications; الاتصالات,Internet Providers; مزودو الإنترنت; internet service providers; broadband providers; satellite communications; satellite services,Satellite Internet; إنترنت فضائي
Telecommunications,الاتصالات,Internet Providers,مزودو الإنترنت,Wi-Fi Hotspots,نقاط اتصال الواي فاي,Telecommunications; الاتصالات,Internet Providers; مزودو الإنترنت; internet service providers; broadband providers,Wi-Fi Hotspots; نقاط اتصال الواي فاي
Telecommunications,الاتصالات,Internet Providers,مزودو الإنترنت,Broadband,النطاق العريض,Telecommunications; الاتصالات,Internet Providers; مزودو الإنترنت; internet service providers; broadband providers,Broadband; النطاق العريض
Telecommunications,الاتصالات,Satellite & VSAT,الأقمار الصناعية وVSAT,Satellite TV,تلفزيون الأقمار الصناعية,Telecommunications; الاتصالات,Satellite & VSAT; الأقمار الصناعية وVSAT; satellite communications; satellite services; very small aperture terminal; VSAT services,Satellite TV; تلفزيون الأقمار الصناعية
Telecommunications,الاتصالات,Satellite & VSAT,الأقمار الصناعية وVSAT,Satellite Communication,اتصالات الأقمار الصناعية,Telecommunications; الاتصالات,Satellite & VSAT; الأقمار الصناعية وVSAT; satellite communications; satellite services; very small aperture terminal; VSAT services,Satellite Communication; اتصالات الأقمار الصناعية
Telecommunications,الاتصالات,Satellite & VSAT,الأقمار الصناعية وVSAT,VSAT Equipment,معدات VSAT,Telecommunications; الاتصالات,Satellite & VSAT; الأقمار الصناعية وVSAT; satellite communications; satellite services; very small aperture terminal; VSAT services,VSAT Equipment; معدات VSAT
Telecommunications,الاتصالات,Satellite & VSAT,الأقمار الصناعية وVSAT,Satellite Phone,هاتف الأقمار الصناعية,Telecommunications; الاتصالات,Satellite & VSAT; الأقمار الصناعية وVSAT; satellite communications; satellite services; very small aperture terminal; VSAT services,Satellite Phone; هاتف الأقمار الصناعية
Telecommunications,الاتصالات,Satellite & VSAT,الأقمار الصناعية وVSAT,Ground Stations,محطات أرضية,Telecommunications; الاتصالات,Satellite & VSAT; الأقمار الصناعية وVSAT; satellite communications; satellite services; very small aperture terminal; VSAT services,Ground Stations; محطات أرضية
Telecommunications,الاتصالات,Telecom Equipment Suppliers,موردو معدات الاتصالات,Network Hardware,أجهزة الشبكات,Telecommunications; الاتصالات,Telecom Equipment Suppliers; موردو معدات الاتصالات,Network Hardware; أجهزة الشبكات
Telecommunications,الاتصالات,Telecom Equipment Suppliers,موردو معدات الاتصالات,Telecom Towers,أبراج الاتصالات,Telecommunications; الاتصالات,Telecom Equipment Suppliers; موردو معدات الاتصالات,Telecom Towers; أبراج الاتصالات
Telecommunications,الاتصالات,Telecom Equipment Suppliers,موردو معدات الاتصالات,Cables & Accessories,الكابلات والاكسسوارات,Telecommunications; الاتصالات,Telecom Equipment Suppliers; موردو معدات الاتصالات,Cables & Accessories; الكابلات والاكسسوارات
Telecommunications,الاتصالات,Telecom Equipment Suppliers,موردو معدات الاتصالات,Antennas,الهوائيات,Telecommunications; الاتصالات,Telecom Equipment Suppliers; موردو معدات الاتصالات,Antennas; الهوائيات
Telecommunications,الاتصالات,Telecom Equipment Suppliers,موردو معدات الاتصالات,Switches & Routers,المحولات وأجهزة التوجيه,Telecommunications; الاتصالات,Telecom Equipment Suppliers; موردو معدات الاتصالات,Switches & Routers; المحولات وأجهزة التوجيه
Education & Training,التعليم والتدريب,Schools,مدارس,Private Schools,مدارس خاصة,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,Private Schools; مدارس خاصة
Education & Training,التعليم والتدريب,Schools,مدارس,Public Schools,مدارس حكومية,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,Public Schools; مدارس حكومية
Education & Training,التعليم والتدريب,Schools,مدارس,International Schools,مدارس دولية,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,International Schools; مدارس دولية
Education & Training,التعليم والتدريب,Schools,مدارس,Islamic Schools,مدارس إسلامية,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,Islamic Schools; مدارس إسلامية
Education & Training,التعليم والتدريب,Schools,مدارس,Special Needs Schools,مدارس احتياجات خاصة,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,Special Needs Schools; مدارس احتياجات خاصة
Education & Training,التعليم والتدريب,Schools,مدارس,Montessori Schools,مدارس مونتيسوري,Education & Training; التعليم والتدريب,Schools; مدارس; educational institutions; primary schools; educational institution; education center,Montessori Schools; مدارس مونتيسوري
Education & Training,التعليم والتدريب,Universities & Colleges,جامعات وكليات,Universities,جامعات,Education & Training; التعليم والتدريب,Universities & Colleges; جامعات وكليات; higher education; universities,Universities; جامعات
Education & Training,التعليم والتدريب,Universities & Colleges,جامعات وكليات,Colleges,كليات,Education & Training; التعليم والتدريب,Universities & Colleges; جامعات وكليات; higher education; universities,Colleges; كليات
